expr_idx,pl_idx,r_prec,dcg,idcg,ndcg,clicks
0,833,0.058333333333333334,2.8401709670082265,6.355389973203988,0.44689169020046626,1
1,63,0.2,8.251417863231623,13.366153853789003,0.6173367412565383,0
2,160,0.225,11.166482704411433,14.594476228813967,0.7651170572579628,0
3,211,0.0375,2.4564707625731197,5.254494511770457,0.46749896818246606,0
4,225,0.06666666666666667,4.072256348258855,7.105998540132031,0.573073062886274,0
5,517,0.05,2.1105737895905334,5.822502283739475,0.3624856954517203,1
6,700,0.06666666666666667,4.166356269669864,6.8613479980138035,0.6072212444079391,0
7,654,0.09166666666666666,5.247895427952068,8.264512206141088,0.6349915514738461,0
8,155,0.041666666666666664,1.6025475695818039,5.254494511770457,0.3049860583148348,1
9,337,0.1375,6.769936973302331,10.559820905011446,0.641103389366147,0
10,427,0.125,5.749446708047994,10.559820905011446,0.544464414668192,0
11,696,0.025,1.5982275008169056,3.9484591188793923,0.4047724574822233,0
12,835,0.03333333333333333,3.702924321197833,4.637999639320748,0.7983882296593149,0
13,295,0.125,6.193890492200235,10.161581041840885,0.6095400377851183,0
14,417,0.0375,4.17340659616212,5.254494511770457,0.794254630357569,0
15,539,0.029166666666666667,1.4453476466195334,4.304666305987414,0.3357629938955271,0
16,715,0.0625,4.1708715514714045,6.6113479980138035,0.6308655288943235,0
17,478,0.03333333333333333,2.4309019378703276,4.637999639320748,0.5241272373678627,0
18,507,0.16666666666666666,9.316307047112147,11.904380279414639,0.7825948792329951,0
19,448,0.13333333333333333,7.537376683862869,10.756382537244269,0.7007352758015527,0
20,591,0.0,0.0,1.0,0.0,50
21,599,0.0125,0.4596306789471184,2.6309297535714578,0.17470275605921248,8
22,434,0.12083333333333333,5.771044194316827,9.959731955258786,0.579437701761611,0
23,618,0.11666666666666667,6.965224298582057,9.550090075707844,0.7293359793850741,0
24,835,0.15416666666666667,7.520052753926128,11.336726682761888,0.6633354551416308,0
25,708,0.10833333333333334,4.4313423788594,9.131765560174182,0.48526677011787794,0
26,166,0.03333333333333333,1.0660847750238311,4.637999639320748,0.22985874470226633,14
27,858,0.008333333333333333,0.3480843654586187,2.0,0.17404218272930935,2
28,920,0.13333333333333333,7.213520476052001,10.559820905011446,0.683110115307792,0
29,952,0.016666666666666666,0.6777352104686454,3.1309297535714578,0.21646452134403574,3
30,784,0.05,3.3024663701462034,6.0927404381667944,0.5420329987239472,0
31,657,0.07083333333333333,3.4882977794860612,7.105998540132031,0.49089480666024,0
32,925,0.041666666666666664,2.016374956668754,5.543559338088345,0.36373290763116206,1
33,183,0.025,1.267222084932743,3.9484591188793923,0.32094091562796573,0
34,192,0.0125,0.4508657975082936,2.6309297535714578,0.17137127925831097,8
35,313,0.10833333333333334,6.076541074390235,9.550090075707844,0.6362810220865741,0
36,452,0.14583333333333334,5.906264297865768,10.951341559138056,0.5393187917636851,0
37,216,0.041666666666666664,1.7781701696717551,5.254494511770457,0.3384093685298409,1
38,778,0.1375,7.871034729171282,10.756382537244269,0.7317548164466641,0
39,520,0.004166666666666667,0.1686130986895011,1.0,0.1686130986895011,6
40,917,0.025,3.917813498752873,3.9484591188793923,0.9922385874580825,0
41,183,0.020833333333333332,1.7330681309836937,3.5616063116448506,0.48659733259044957,0
42,968,0.0875,4.508038889506756,8.040268381923513,0.5606826383609195,0
43,564,0.025,1.126107957043618,4.637999639320748,0.24280035459609065,4
44,185,0.029166666666666667,1.6885832617067333,4.304666305987414,0.3922680973802921,0
45,634,0.029166666666666667,2.3024748095403766,4.304666305987414,0.5348788142620569,0
46,579,0.016666666666666666,0.7858552365617547,3.1309297535714578,0.2509974028211039,1
47,873,0.05,2.965121612798886,5.822502283739475,0.5092521167539243,0
48,229,0.0625,3.8620359108515663,6.6113479980138035,0.5841525679803586,0
49,498,0.004166666666666667,0.1686130986895011,1.0,0.1686130986895011,6
50,520,0.029166666666666667,1.4404970332951375,4.637999639320748,0.3105858441821922,1
51,318,0.03333333333333333,1.7475727089277282,4.637999639320748,0.37679449004520976,1
52,329,0.075,3.68515195948145,7.3458110067001625,0.5016671346594949,0
53,935,0.020833333333333332,1.6477461085726046,3.5616063116448506,0.46264128159960183,0
54,826,0.05,3.8321044769310277,6.0927404381667944,0.628962371829522,0
55,11,0.029166666666666667,2.405130492594229,4.637999639320748,0.5185706510633686,0
56,488,0.020833333333333332,1.72591587308299,3.5616063116448506,0.4845891774843338,0
57,122,0.004166666666666667,0.23540891336663824,1.0,0.23540891336663824,1
58,186,0.0625,3.6249579122694433,7.3458110067001625,0.493472798165253,0
59,472,0.004166666666666667,0.16427204996205025,1.0,0.16427204996205025,6
60,505,0.10416666666666667,4.809071235041522,9.131765560174182,0.5266310444953858,0
61,517,0.004166666666666667,0.1269596709794558,1.0,0.1269596709794558,23
62,813,0.025,1.1017846464307044,4.304666305987414,0.2559512324795579,1
63,889,0.07083333333333333,3.2419878855431303,7.105998540132031,0.45623255721677836,0
64,511,0.0375,2.5211445100541505,5.254494511770457,0.47980724014585985,0
65,178,0.025,1.859109216114592,3.9484591188793923,0.4708442357235862,0
66,694,0.07083333333333333,3.4752460637061278,7.105998540132031,0.4890580886105216,0
67,932,0.008333333333333333,0.40453863855356653,2.0,0.20226931927678327,2
68,561,0.10416666666666667,4.707517943153012,8.919019506620819,0.5278066652571507,0
