expr_idx,pl_idx,r_prec,dcg,idcg,ndcg,clicks
0,206,0.07373271889400922,7.272024153051943,6.8613479980138035,1.059853567426841,0
1,432,0.025,0.4873725552875969,2.0,0.24368627764379844,0
2,289,0.0,0.0,1.0,0.0,10
3,808,0.2802197802197802,17.56561136470042,13.89773270186745,1.2639192119690223,0
4,555,0.140625,2.5979173568794813,5.543559338088345,0.4686370612162246,0
5,839,0.015625,1.0,1.0,1.0,0
6,385,0.16292134831460675,6.466990289195449,9.755936908168279,0.6628774201871767,0
7,580,0.421875,8.386541315029364,9.755936908168279,0.8596346403191301,0
8,629,0.08695652173913043,1.5723811684065647,3.9484591188793923,0.39822652864462743,0
9,184,0.043478260869565216,0.3562071871080222,1.0,0.3562071871080222,0
10,748,0.0,0.0,1.0,0.0,10
11,84,0.22340425531914893,4.97407803655653,8.040268381923513,0.6186457715440783,0
12,974,0.030303030303030304,0.45568717784268864,2.0,0.22784358892134432,1
13,656,0.0,0.0,1.0,0.0,10
14,246,0.13414634146341464,6.69193437411807,8.264512206141088,0.8097192196226067,0
15,895,0.034782608695652174,1.436841508327082,4.637999639320748,0.3097976757362389,3
16,781,0.047619047619047616,1.5142167053356688,3.1309297535714578,0.483631644436736,0
17,597,0.4444444444444444,10.446838852865437,11.527278095188661,0.9062710872938698,0
18,240,0.04878048780487805,1.8368489670048016,3.9484591188793923,0.46520653037079324,0
19,866,0.0,0.15329048865267808,1.0,0.15329048865267808,9
20,188,0.11165048543689321,6.788892477168909,8.48557693559859,0.8000507836642466,0
21,610,0.19148936170212766,2.427728416017435,5.543559338088345,0.4379367601131548,0
22,10,0.037037037037037035,0.6309297535714575,1.0,0.6309297535714575,0
23,315,0.1111111111111111,5.522234002821746,8.48557693559859,0.6507788503637196,0
24,505,0.23529411764705882,2.4798752674067597,5.254494511770457,0.47195315588429204,0
25,100,0.05511811023622047,1.1988826092185003,4.304666305987414,0.2785076760888433,3
26,55,0.19858156028368795,7.135185868034491,9.550090075707844,0.7471328345042482,0
27,928,0.23076923076923078,5.1074573073303675,6.0927404381667944,0.8382857203854752,0
28,538,0.07272727272727272,2.020078402704688,5.254494511770457,0.38444771389132915,0
29,421,0.2518518518518518,8.554022429391955,10.756382537244269,0.7952508568539114,0
30,915,0.10810810810810811,1.1531230063346554,3.1309297535714578,0.3683005040337573,0
31,559,0.14285714285714285,3.005710769312361,4.637999639320748,0.6480618807793953,0
32,959,0.0,0.0,1.0,0.0,10
33,511,0.2222222222222222,3.616642333008999,5.822502283739475,0.6211491480405616,0
