expr_idx,pl_idx,r_prec,dcg,idcg,ndcg,clicks
0,206,0.059907834101382486,2.7371039109321584,6.0927404381667944,0.44924019637962914,0
1,432,0.0,0.0,1.0,0.0,10
2,289,0.0,0.0,1.0,0.0,10
3,808,0.06043956043956044,3.1013106248064997,5.543559338088345,0.5594439304542492,0
4,555,0.015625,0.44863624198782603,2.0,0.22431812099391302,1
5,839,0.03125,0.4890648263178879,2.0,0.24453241315894395,1
6,385,0.10674157303370786,4.995894990960134,7.5812199200668005,0.6589829926627578,0
7,580,0.203125,4.476028167232842,7.105998540132031,0.6298943268780458,0
8,629,0.0,0.21274605355336312,1.0,0.21274605355336312,2
9,184,0.0,0.16485085672216038,1.0,0.16485085672216038,6
10,748,0.0,0.0,1.0,0.0,10
11,84,0.07446808510638298,1.5379987306133922,4.304666305987414,0.35728640068433887,0
12,974,0.0,0.0,1.0,0.0,10
13,656,0.0,0.0,1.0,0.0,10
14,246,0.07926829268292683,3.20506930869051,6.0927404381667944,0.5260472428158884,0
15,895,0.021739130434782608,1.9568052873682533,3.5616063116448506,0.5494165037192292,0
16,781,0.0,0.15186115333086322,1.0,0.15186115333086322,9
17,597,0.2962962962962963,8.541622208253145,8.919019506620819,0.9576862346710283,0
18,240,0.07317073170731707,1.731061322320674,3.1309297535714578,0.5528905017259007,0
19,866,0.019230769230769232,0.5314740540373273,2.6309297535714578,0.2020099751108357,4
20,188,0.0,0.0,1.0,0.0,10
21,610,0.0851063829787234,0.8446865389308013,3.1309297535714578,0.2697877644706866,1
22,10,0.0,0.0,1.0,0.0,10
23,315,0.0,0.0,1.0,0.0,10
24,505,0.14705882352941177,2.772208969503898,5.543559338088345,0.5000774413032393,0
25,100,0.0,0.0,1.0,0.0,10
26,55,0.09219858156028368,4.244298788584403,6.0927404381667944,0.6966157235251339,0
27,928,0.09615384615384616,1.9966659211579483,3.9484591188793923,0.5056823082227124,0
28,538,0.10909090909090909,2.227445445516681,6.0927404381667944,0.36559007693209444,2
29,421,0.08148148148148149,2.532666088562948,5.543559338088345,0.4568664163404299,0
30,915,0.05405405405405406,0.5364389090306194,2.0,0.2682194545153097,0
31,559,0.11428571428571428,2.0837514326125053,3.9484591188793923,0.5277378769477782,0
32,959,0.02,1.1525648706011593,2.0,0.5762824353005797,0
33,511,0.2222222222222222,3.4632735370083836,5.254494511770457,0.6591068901585859,0
34,825,0.03592814371257485,1.3031182578701546,3.9484591188793923,0.33003210078568346,0
35,861,0.08928571428571429,2.332122517423592,4.304666305987414,0.5417661559921181,0
36,777,0.03571428571428571,1.260802516805077,2.6309297535714578,0.47922317769737166,0
37,41,0.047619047619047616,1.2108471195004702,3.5616063116448506,0.33997219612441293,0
