r_precision,ndcg,clicks,rr,recall
0.0,0.0,50,0,0.0
0.0,0.0,50,0,0.0
0.0,0.0,50,0,0.0
0.0,0.0,50,0,0.0
0.0,0.0,50,0,0.0
0.0,0.0,50,0,0.0
0.0,0.0,50,0,0.0
0.0,0.0,50,0,0.0
0.0,0.0,50,0,0.0
0.0,0.0,50,0,0.0
0.0,0.0,50,0,0.0
0.0,0.12277986014699886,28,0.0035335689045936395,0.02857142857142857
0.0,0.13708731878239783,15,0.006369426751592357,0.02857142857142857
0.0,0.0,50,0,0.0
0.0,0.12145326590959868,30,0.0033222591362126247,0.02857142857142857
0.0,0.0,50,0,0.0
0.0,0.0,50,0,0.0
0.0,0.0,50,0,0.0
0.0,0.0,50,0,0.0
0.0,0.0,50,0,0.0
0.0,0.0,50,0,0.0
0.0,0.0,50,0,0.0
0.0,0.0,50,0,0.0
0.0,0.0,50,0,0.0
0.0,0.0,50,0,0.0
0.0,0.0,50,0,0.0
0.0,0.0,50,0,0.0
0.0,0.0,50,0,0.0
0.0,0.0,50,0,0.0
0.0,0.11396287946450194,43,0.00228310502283105,0.02857142857142857
0.0,0.11573745968794447,39,0.002506265664160401,0.02857142857142857
0.0,0.0,50,0,0.0
0.0,0.0,50,0,0.0
0.0,0.0,50,0,0.0
0.0,0.0,50,0,0.0
0.0,0.0,50,0,0.0
0.0,0.0,50,0,0.0
0.0,0.0,50,0,0.0
0.0,0.0,50,0,0.0
0.0,0.0,50,0,0.0
0.0,0.0,50,0,0.0
0.0,0.0,50,0,0.0
0.0,0.0,50,0,0.0
0.0,0.0,50,0,0.0
0.0,0.0,50,0,0.0
0.0,0.0,50,0,0.0
0.0,0.0,50,0,0.0
0.0,0.0,50,0,0.0
0.0,0.0,50,0,0.0
0.0,0.0,50,0,0.0
0.0,0.0,50,0,0.0
0.0,0.0,50,0,0.0
0.0,0.0,50,0,0.0
0.0,0.0,50,0,0.0
0.0,0.0,50,0,0.0
0.0,0.0,50,0,0.0
0.0,0.0,50,0,0.0
0.0,0.0,50,0,0.0
0.0,0.0,50,0,0.0
0.0,0.0,50,0,0.0
0.0,0.0,50,0,0.0
0.0,0.0,50,0,0.0
0.0,0.0,50,0,0.0
0.0,0.0,50,0,0.0
0.0,0.0,50,0,0.0
0.0,0.1182112516633933,35,0.002840909090909091,0.027777777777777776
0.0,0.0,50,0,0.0
0.0,0.0,50,0,0.0
0.0,0.0,50,0,0.0
0.0,0.0,50,0,0.0
0.0,0.0,50,0,0.0
0.0,0.0,50,0,0.0
0.0,0.0,50,0,0.0
0.0,0.0,50,0,0.0
0.0,0.0,50,0,0.0
0.0,0.0,50,0,0.0
0.0,0.0,50,0,0.0
0.0,0.0,50,0,0.0
0.0,0.0,50,0,0.0
0.0,0.0,50,0,0.0
0.0,0.0,50,0,0.0
0.0,0.0,50,0,0.0
0.0,0.0,50,0,0.0
0.0,0.0,50,0,0.0
0.0,0.0,50,0,0.0
0.0,0.0,50,0,0.0
0.0,0.13094790561131578,19,0.005025125628140704,0.02702702702702703
0.0,0.0,50,0,0.0
0.0,0.0,50,0,0.0
0.02702702702702703,0.21956631778774988,1,0.0625,0.10810810810810811
0.0,0.0,50,0,0.0
0.0,0.0,50,0,0.0
0.0,0.0,50,0,0.0
0.0,0.0,50,0,0.0
0.0,0.0,50,0,0.0
0.0,0.0,50,0,0.0
0.0,0.0,50,0,0.0
0.0,0.0,50,0,0.0
0.0,0.0,50,0,0.0
0.0,0.0,50,0,0.0
0.0,0.0,50,0,0.0
0.0,0.0,50,0,0.0
0.0,0.0,50,0,0.0
0.0,0.0,50,0,0.0
0.0,0.0,50,0,0.0
0.0,0.0,50,0,0.0
0.02631578947368421,0.3562071871080222,0,0.14285714285714285,0.02631578947368421
0.0,0.0,50,0,0.0
0.0,0.0,50,0,0.0
0.0,0.0,50,0,0.0
0.0,0.0,50,0,0.0
0.0,0.0,50,0,0.0
0.0,0.0,50,0,0.0
0.0,0.0,50,0,0.0
0.0,0.0,50,0,0.0
0.0,0.0,50,0,0.0
0.0,0.0,50,0,0.0
0.0,0.0,50,0,0.0
0.0,0.0,50,0,0.0
0.0,0.0,50,0,0.0
0.0,0.11726797964853022,36,0.0027100271002710027,0.02631578947368421
0.0,0.0,50,0,0.0
0.0,0.0,50,0,0.0
0.0,0.0,50,0,0.0
0.0,0.0,50,0,0.0
0.0,0.0,50,0,0.0
0.0,0.0,50,0,0.0
0.0,0.0,50,0,0.0
0.0,0.0,50,0,0.0
0.0,0.0,50,0,0.0
0.0,0.0,50,0,0.0
0.0,0.0,50,0,0.0
0.0,0.0,50,0,0.0
0.0,0.0,50,0,0.0
0.0,0.0,50,0,0.0
0.0,0.0,50,0,0.0
0.0,0.0,50,0,0.0
0.0,0.0,50,0,0.0
0.0,0.0,50,0,0.0
0.0,0.0,50,0,0.0
0.0,0.0,50,0,0.0
0.0,0.0,50,0,0.0
0.0,0.0,50,0,0.0
0.0,0.0,50,0,0.0
