,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
count,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
mean,0.49284,0.17933,4.08,-14.073190000000002,1.0,0.040701,0.86476,0.0018254233,0.15955999999999998,0.50186,103.58774000000001
std,0.02962653738072874,0.02481448542421718,3.323257498906818,2.9851098576979123,0.0,0.014056591932886034,0.033324883777559974,0.007884314636876869,0.034905158659001984,0.03600758057112223,8.708188190897163
min,0.425,0.122,0.0,-21.167,1.0,0.0252,0.794,0.0,0.102,0.426,85.435
25%,0.47375,0.163,1.0,-15.78375,1.0,0.03065,0.8402499999999999,0.0,0.1335,0.476,97.06075
50%,0.4965,0.177,3.5,-14.168,1.0,0.036750000000000005,0.8674999999999999,1.7e-06,0.158,0.5055000000000001,103.15299999999999
75%,0.51225,0.198,7.0,-11.868500000000001,1.0,0.04485,0.89225,9.999999999999999e-05,0.17725,0.525,109.5605
max,0.573,0.231,11.0,-6.425,1.0,0.0924,0.941,0.0543,0.251,0.581,124.782
median,0.4965,0.177,3.5,-14.168,1.0,0.036750000000000005,0.8674999999999999,1.7e-06,0.158,0.5055000000000001,103.15299999999999
