,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
count,187.0,187.0,187.0,187.0,187.0,187.0,187.0,187.0,187.0,187.0,187.0
mean,0.45958288770053474,0.35604454545454545,5.101604278074866,-10.74996256684492,0.7540106951871658,0.04520695187165776,0.6742101069518717,0.00585081219251337,0.22074117647058822,0.4333336898395722,114.06701069518718
std,0.1600958628353422,0.183836934344619,3.333658198188169,4.091116864319077,0.4318283956919209,0.028479964751942106,0.22677476136568114,0.036678497601529456,0.17685579954589295,0.21545852877603475,30.512951074047177
min,0.121,0.00983,0.0,-26.106,0.0,0.0254,0.00549,0.0,0.0515,0.046,60.61
25%,0.3135,0.2045,2.0,-13.591000000000001,1.0,0.03225,0.5395000000000001,0.0,0.1075,0.2385,89.731
50%,0.492,0.338,5.0,-10.237,1.0,0.036,0.714,0.0,0.161,0.431,113.96
75%,0.5854999999999999,0.483,8.0,-7.493,1.0,0.0463,0.859,8.424999999999999e-05,0.2965,0.597,131.2775
max,0.763,0.844,11.0,-2.711,1.0,0.228,0.986,0.424,0.986,0.872,209.648
median,0.492,0.338,5.0,-10.237,1.0,0.036,0.714,0.0,0.161,0.431,113.96
