,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
count,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
mean,0.46950000000000003,0.41740000000000005,6.3,-10.9178,0.8,0.035570000000000004,0.6614,0.007548394999999999,0.3876,0.5582,121.7047
std,0.16988312976213316,0.19221816309137443,3.802046232695699,2.868721891171901,0.4216370213557839,0.007757297639427449,0.21565157082664616,0.01650245220145664,0.27795011542841036,0.1994402166063806,25.856049092577504
min,0.221,0.209,0.0,-15.185,0.0,0.026,0.304,0.0,0.111,0.327,81.084
25%,0.34475,0.26525,5.0,-13.474,1.0,0.033,0.52575,9.812500000000001e-06,0.1855,0.442,114.58574999999999
50%,0.48,0.3805,6.0,-10.064499999999999,1.0,0.0343,0.6055,0.000415,0.355,0.5145,123.42949999999999
75%,0.59475,0.537,9.75,-9.3155,1.0,0.036925,0.8334999999999999,0.0026699999999999996,0.45075,0.61825,134.62825
max,0.741,0.79,11.0,-6.732,1.0,0.0545,0.951,0.052,0.949,0.963,168.497
median,0.48,0.3805,6.0,-10.064499999999999,1.0,0.0343,0.6055,0.000415,0.355,0.5145,123.42949999999999
