,artist_name,track_name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
0,Dean Martin,La Giostra (The Merry-Go-Round),0.283,0.38,9,-10.257,1,0.0345,0.555,2.65e-06,0.353,0.583,168.497
1,Dean Martin,In the Misty Moonlight,0.383,0.465,10,-9.872,1,0.0339,0.492,0.00273,0.478,0.504,120.57
2,Dean Martin,"Corrine, Corrina",0.632,0.625,7,-6.732,1,0.026,0.829,0.000379,0.369,0.8,132.256
3,Dean Martin,(Remember Me) I'm the One Who Loves You,0.483,0.561,1,-9.488,1,0.0349,0.537,3.13e-05,0.187,0.525,112.591
4,Elvis Presley,Fever,0.478,0.381,5,-9.258,0,0.0327,0.304,0.00249,0.111,0.334,121.966
5,Frank Sinatra,I Heard You Cried Last Night,0.221,0.222,5,-15.185,1,0.0376,0.835,0.0174,0.949,0.327,82.464
6,Dean Martin,"Every Minute, Every Hour",0.332,0.281,11,-13.508,1,0.028,0.933,0.000451,0.357,0.426,81.084
7,Elvis Presley,Moody Blue,0.741,0.79,0,-7.653,1,0.0395,0.522,0.0,0.123,0.963,135.419
8,Frank Sinatra,For Me and My Gal,0.482,0.209,10,-13.372,1,0.0545,0.951,0.052,0.764,0.49,137.307
9,Frank Sinatra,Days Of Wine And Roses,0.66,0.26,5,-13.853,0,0.0341,0.656,0.0,0.185,0.63,124.893
