expr_idx,pl_idx,r_prec,dcg,idcg,ndcg,clicks
0,206,0.12903225806451613,6.6902757198946,9.550090075707844,0.7005458238464544,0
1,432,0.05,0.763448461765446,2.6309297535714578,0.2901820015259143,0
2,289,0.0,0.4918415405985266,2.6309297535714578,0.18694590379346207,6
3,808,0.3791208791208791,16.357904029972907,16.942953452119205,0.9654694546733161,0
4,555,0.1875,4.219974485772808,6.6113479980138035,0.6382925973705488,0
5,839,0.03125,0.9615568713023386,2.6309297535714578,0.36548177312489466,0
6,385,0.2303370786516854,9.631470489646635,12.09103269065358,0.7965796417945178,0
7,580,0.375,7.315774920262074,10.559820905011446,0.6927934655397591,0
8,629,0.043478260869565216,0.999563015307537,3.5616063116448506,0.28064949571754055,1
9,184,0.043478260869565216,0.6713319029692655,2.6309297535714578,0.2551690717161642,0
10,748,0.0,0.0,1.0,0.0,10
11,84,0.30851063829787234,7.67448064498513,9.959731955258786,0.7705509224003733,0
12,974,0.0,0.1515171524096389,1.0,0.1515171524096389,9
13,656,0.020833333333333332,0.31464139499428156,2.0,0.15732069749714078,7
14,246,0.08536585365853659,4.304030581064005,6.355389973203988,0.6772252527714178,0
15,895,0.04782608695652174,5.195420491419209,5.543559338088345,0.9371994010640122,0
16,781,0.047619047619047616,0.9560081846604284,3.5616063116448506,0.26842051058105765,1
17,597,0.5061728395061729,11.17893124231723,12.64393979813129,0.884133539133856,0
18,240,0.024390243902439025,1.144836979067681,3.9484591188793923,0.28994525322389453,0
19,866,0.019230769230769232,0.40292486830283214,2.0,0.20146243415141607,1
20,188,0.20388349514563106,10.517278847646757,12.27648171406895,0.8567013817642777,0
21,610,0.10638297872340426,4.279423805513174,7.105998540132031,0.6022269469019144,0
22,10,0.07407407407407407,0.8786143068086003,3.1309297535714578,0.2806240880385014,1
23,315,0.1497584541062802,7.234572308356583,10.161581041840885,0.7119534134076009,0
24,505,0.38235294117647056,4.148020835520482,6.8613479980138035,0.6045489657019634,0
25,100,0.07874015748031496,2.2739616744552236,5.254494511770457,0.43276506795494424,0
26,55,0.1773049645390071,7.295412279201105,8.919019506620819,0.8179612426887879,0
27,928,0.19230769230769232,3.6707378156332466,6.0927404381667944,0.602477301123583,0
28,538,0.12727272727272726,2.888636404630568,5.822502283739475,0.4961159762354537,0
29,421,0.4666666666666667,14.784136840719885,15.951968023188115,0.926790777114733,0
30,915,0.10810810810810811,2.4708504204777633,4.637999639320748,0.5327405374355804,0
31,559,0.2,3.2085449621947624,5.254494511770457,0.6106286637101597,0
32,959,0.03,0.7771271357066236,2.6309297535714578,0.29538118022789556,0
33,511,0.07407407407407407,3.1994867846473847,6.0927404381667944,0.5251309845081892,0
34,825,0.0658682634730539,2.3208685004597323,5.543559338088345,0.41866035139439245,0
35,861,0.125,2.9649192650432283,5.822502283739475,0.5092173640400915,0
36,777,0.6785714285714286,7.871059391823693,9.550090075707844,0.8241869269741204,0
37,41,0.21428571428571427,5.484251859606495,7.3458110067001625,0.7465822159873529,0
38,675,0.04878048780487805,2.0379303594098706,3.9484591188793923,0.516133078259717,0
39,584,0.4752475247524752,11.433443828018532,13.366153853789003,0.855402680014596,0
40,484,0.21212121212121213,4.00121066528517,6.0927404381667944,0.6567177292208872,0
41,126,0.15,2.9618529113937964,5.254494511770457,0.563679894375953,0
42,335,0.07526881720430108,2.1616316581546573,4.304666305987414,0.5021600989484404,0
43,384,0.045454545454545456,0.7495151872120939,3.1309297535714578,0.2393906111617868,1
44,566,0.19658119658119658,6.753859574751466,8.48557693559859,0.7959222603259604,0
45,883,0.0,0.1965616322328226,1.0,0.1965616322328226,3
46,355,0.05813953488372093,2.5376541332637226,5.254494511770457,0.4829492404224972,0
